Date,Name,Type
2020-12-25,Christmas,National/Observed
2021-01-26,Republic Day,National/Observed
2021-03-29,Holi,National/Observed
2021-04-02,Good Friday,National/Observed
2021-04-14,Dr. B. R. Ambedkar's Jayanti,National/Observed
2021-04-21,Ram Navami,National/Observed
2021-04-25,Mahavir Jayanti,National/Observed
2021-05-14,Id-ul-Fitr,National/Observed
2021-05-26,Buddha Purnima,National/Observed
2021-07-21,Id-ul-Zuha (Bakrid),National/Observed
2021-08-15,Independence Day,National/Observed
2021-08-19,Muharram,National/Observed
2021-08-30,Janmashtami (Vaishnava),National/Observed
2021-10-02,Mahatma Gandhi's Jayanti,National/Observed
2021-10-15,Dussehra,National/Observed
2021-10-19,Milad-un-Nabi,National/Observed
2021-11-04,Diwali (Deepavali),National/Observed
2021-11-19,Guru Nanak's Jayanti,National/Observed
2021-12-25,Christmas,National/Observed
2022-01-26,Republic Day,National/Observed
2022-03-01,Maha Shivaratri,National/Observed
2022-03-18,Holi,National/Observed
2022-04-14,Dr. B. R. Ambedkar's Jayanti; Mahavir Jayanti,National/Observed
2022-04-15,Good Friday,National/Observed
2022-05-03,Id-ul-Fitr,National/Observed
2022-05-16,Buddha Purnima,National/Observed
2022-07-10,Id-ul-Zuha (Bakrid),National/Observed
2022-08-09,Muharram,National/Observed
2022-08-15,Independence Day,National/Observed
2022-08-19,Janmashtami (Vaishnava),National/Observed
2022-10-02,Mahatma Gandhi's Jayanti,National/Observed
2022-10-05,Dussehra,National/Observed
2022-10-09,Milad-un-Nabi,National/Observed
2022-10-24,Diwali (Deepavali),National/Observed
2022-11-08,Guru Nanak's Jayanti,National/Observed
2022-12-25,Christmas,National/Observed
2023-01-26,Republic Day,National/Observed
2023-03-08,Holi,National/Observed
2023-03-30,Ram Navami,National/Observed
2023-04-04,Mahavir Jayanti,National/Observed
2023-04-07,Good Friday,National/Observed
2023-04-14,Dr. B. R. Ambedkar's Jayanti,National/Observed
2023-04-22,Id-ul-Fitr,National/Observed
2023-05-05,Buddha Purnima,National/Observed
2023-06-29,Id-ul-Zuha (Bakrid),National/Observed
2023-07-29,Muharram,National/Observed
2023-08-15,Independence Day,National/Observed
2023-09-07,Janmashtami (Vaishnava),National/Observed
2023-09-28,Milad-un-Nabi,National/Observed
2023-10-02,Mahatma Gandhi's Jayanti,National/Observed
2023-10-24,Dussehra,National/Observed
2023-11-12,Diwali (Deepavali),National/Observed
2023-11-27,Guru Nanak's Jayanti,National/Observed
2023-12-25,Christmas,National/Observed
2024-01-26,Republic Day,National/Observed
2024-03-25,Holi,National/Observed
2024-03-29,Good Friday,National/Observed
2024-04-11,Id-ul-Fitr,National/Observed
2024-04-14,Dr. B. R. Ambedkar's Jayanti,National/Observed
2024-04-17,Ram Navami,National/Observed
2024-04-21,Mahavir Jayanti,National/Observed
2024-05-23,Buddha Purnima,National/Observed
2024-06-17,Id-ul-Zuha (Bakrid),National/Observed
2024-07-17,Muharram,National/Observed
2024-08-15,Independence Day,National/Observed
2024-08-26,Janmashtami (Vaishnava),National/Observed
2024-09-16,Milad-un-Nabi,National/Observed
2024-10-02,Mahatma Gandhi's Jayanti,National/Observed
2024-10-12,Dussehra,National/Observed
2024-10-31,Diwali (Deepavali),National/Observed
2024-11-15,Guru Nanak's Jayanti,National/Observed
2024-12-25,Christmas,National/Observed
2025-01-26,Republic Day,National/Observed
2025-02-26,Maha Shivaratri,National/Observed
2025-03-14,Holi,National/Observed
2025-03-31,Id-ul-Fitr,National/Observed
2025-04-10,Mahavir Jayanti,National/Observed
2025-04-14,Dr. B. R. Ambedkar's Jayanti,National/Observed
2025-04-18,Good Friday,National/Observed
2025-05-12,Buddha Purnima,National/Observed
2025-06-07,Id-ul-Zuha (Bakrid),National/Observed
2025-07-06,Muharram,National/Observed
2025-08-15,Independence Day,National/Observed
2025-08-16,Janmashtami (Vaishnava),National/Observed
2025-09-05,Milad-un-Nabi,National/Observed
2025-10-02,Dussehra; Mahatma Gandhi's Jayanti,National/Observed
2025-10-20,Diwali (Deepavali),National/Observed
2025-11-05,Guru Nanak's Jayanti,National/Observed
2025-12-25,Christmas,National/Observed
2026-01-26,Republic Day,National/Observed
2026-03-04,Holi,National/Observed
2026-03-21,Id-ul-Fitr,National/Observed
2026-03-26,Ram Navami,National/Observed
2026-03-31,Mahavir Jayanti,National/Observed
2026-04-03,Good Friday,National/Observed
2026-04-14,Dr. B. R. Ambedkar's Jayanti,National/Observed
2026-05-01,Buddha Purnima,National/Observed
2026-05-27,Id-ul-Zuha (Bakrid),National/Observed
2026-06-26,Muharram,National/Observed
2026-08-15,Independence Day,National/Observed
2026-08-26,Milad-un-Nabi,National/Observed
2026-09-04,Janmashtami (Vaishnava),National/Observed
2026-10-02,Mahatma Gandhi's Jayanti,National/Observed
2026-10-20,Dussehra,National/Observed
2026-11-08,Diwali (Deepavali),National/Observed
2026-11-24,Guru Nanak's Jayanti,National/Observed
2026-12-25,Christmas,National/Observed
2027-01-26,Republic Day,National/Observed
2027-03-06,Maha Shivaratri,National/Observed
2027-03-10,Id-ul-Fitr (estimated),National/Observed
2027-03-22,Holi,National/Observed
2027-03-26,Good Friday,National/Observed
2027-04-14,Dr. B. R. Ambedkar's Jayanti,National/Observed
2027-04-15,Ram Navami,National/Observed
2027-04-18,Mahavir Jayanti,National/Observed
2027-05-17,Id-ul-Zuha (Bakrid) (estimated),National/Observed
2027-05-20,Buddha Purnima,National/Observed
2027-06-16,Muharram (estimated),National/Observed
2027-08-15,Independence Day; Milad-un-Nabi (estimated),National/Observed
2027-08-25,Janmashtami (Vaishnava),National/Observed
2027-10-02,Mahatma Gandhi's Jayanti,National/Observed
2027-10-09,Dussehra,National/Observed
2027-10-29,Diwali (Deepavali),National/Observed
2027-11-14,Guru Nanak's Jayanti,National/Observed
2027-12-25,Christmas,National/Observed
2028-01-26,Republic Day,National/Observed
2028-02-23,Maha Shivaratri,National/Observed
2028-02-27,Id-ul-Fitr (estimated),National/Observed
2028-03-11,Holi,National/Observed
2028-04-03,Ram Navami,National/Observed
2028-04-07,Mahavir Jayanti,National/Observed
2028-04-14,Dr. B. R. Ambedkar's Jayanti; Good Friday,National/Observed
2028-05-06,Id-ul-Zuha (Bakrid) (estimated),National/Observed
2028-05-08,Buddha Purnima,National/Observed
2028-06-04,Muharram (estimated),National/Observed
2028-08-04,Milad-un-Nabi (estimated),National/Observed
2028-08-13,Janmashtami (Vaishnava),National/Observed
2028-08-15,Independence Day,National/Observed
2028-09-27,Dussehra,National/Observed
2028-10-02,Mahatma Gandhi's Jayanti,National/Observed
2028-10-17,Diwali (Deepavali),National/Observed
2028-11-02,Guru Nanak's Jayanti,National/Observed
2028-12-25,Christmas,National/Observed
2029-01-26,Republic Day,National/Observed
2029-02-11,Maha Shivaratri,National/Observed
2029-02-15,Id-ul-Fitr (estimated),National/Observed
2029-03-01,Holi,National/Observed
2029-03-30,Good Friday,National/Observed
2029-04-14,Dr. B. R. Ambedkar's Jayanti,National/Observed
2029-04-25,Id-ul-Zuha (Bakrid) (estimated),National/Observed
2029-04-26,Mahavir Jayanti,National/Observed
2029-05-24,Muharram (estimated),National/Observed
2029-05-27,Buddha Purnima,National/Observed
2029-07-25,Milad-un-Nabi (estimated),National/Observed
2029-08-15,Independence Day,National/Observed
2029-09-01,Janmashtami (Vaishnava),National/Observed
2029-10-02,Mahatma Gandhi's Jayanti,National/Observed
2029-10-16,Dussehra,National/Observed
2029-11-05,Diwali (Deepavali),National/Observed
2029-11-21,Guru Nanak's Jayanti,National/Observed
2029-12-25,Christmas,National/Observed
2030-01-26,Republic Day,National/Observed
2030-02-05,Id-ul-Fitr (estimated),National/Observed
2030-03-02,Maha Shivaratri,National/Observed
